1810 0 0
1811 0 0
1812 40 815
1813 120 374
1814 0 0
1815 435 179
1816 0 0
1817 0 0
1818 0 0
1819 0 0
1820 0 0
1821 0 0
1822 486 3500
1823 0 0
1824 0 0
1825 0 0
1826 0 0
1827 486 3500
1828 0 0
1829 0 0
1830 0 0
1831 0 0
1832 0 0
1833 0 0
1834 0 0
1835 0 0
1836 0 0
1837 163 123
1838 0 0
1839 0 0
1840 0 0
1841 0 0
1842 0 0
1843 0 0
1844 0 0
1845 435 179
1846 0 0
1847 0 0
1848 0 0
1849 0 0
1850 0 0
1851 0 0
1852 0 0
1853 0 0
1854 0 0
1855 40 123
1856 123 40
1857 0 0
1858 0 0
1859 0 0
1860 0 0
1861 0 0
1862 0 0
1863 0 0
1864 0 0
1865 40 123
1866 123 40
1867 0 0
1868 0 0
1869 0 0
1870 0 0
1871 0 0
1872 0 0
1873 0 0
1874 0 0
1875 475 302
1876 0 0
1877 0 0
1878 0 0
1879 0 0
1880 0 0
1881 0 0
1882 0 0
1883 0 0
1884 0 0
1885 123 123
1886 40 0
1887 0 0
1888 0 0
1889 0 0
1890 0 0
1891 0 0
1892 0 0
1893 0 0
1894 0 0
1895 0 0
1896 163 163
1897 0 0
1898 366 3500
1899 40 0
1900 486 3500
1901 0 0
1902 0 0
1903 0 0
1904 0 0
1905 435 179
1906 0 0
1907 0 0
1908 0 0
1909 0 0
1910 0 0
1911 0 0
1912 0 0
1913 0 0
1914 0 0
1915 123 123
1916 40 0
1917 0 0
1918 0 0
1919 451 179
1920 0 0
1921 0 0
1922 0 0
1923 0 0
1924 0 0
1925 0 0
1926 0 0
1927 0 0
1928 0 0
1929 163 123
1930 0 0
1931 0 0
1932 0 0
1933 486 3500
1934 0 0
1935 435 179
1936 0 0
1937 486 3500
1938 0 0
1939 0 0
1940 0 0
1941 0 0
1942 0 0
1943 486 3500
1944 0 0
1945 0 0
1946 0 0
1947 0 0
1948 0 0
1949 486 3500
1950 0 0
1951 0 0
1952 0 0
1953 0 0
1954 0 0
1955 0 0
1956 0 0
1957 0 0
1958 163 123
1959 0 0
1960 0 0
1961 0 0
1962 0 0
1963 160 1189
1964 0 0
1965 395 0
1966 40 179
1967 0 0
1968 0 0
1969 0 0
1970 0 0
1971 0 0
1972 0 0
1973 0 0
1974 0 0
1975 0 0
1976 163 123
1977 0 0
1978 446 3321
1979 40 179
1980 259 3281
1981 227 219
1982 0 0
1983 0 0
1984 0 0
1985 0 0
1986 0 0
1987 0 0
1988 0 0
1989 0 0
1990 0 0
1991 163 123
1992 0 0
1993 0 0
1994 0 0
1995 0 0
1996 435 179
1997 0 0
1998 0 0
1999 0 0
2000 0 0
2001 0 0
2002 0 0
2003 0 0
2004 0 0
2005 0 0
2006 163 123
2007 0 0
2008 0 0
2009 0 0
2010 0 0
2011 0 0
2012 0 0
2013 0 0
2014 0 0
2015 163 123
2016 0 0
2017 0 0
2018 0 0
2019 0 0
2020 0 0
2021 0 0
2022 0 0
2023 0 0
2024 0 0
2025 163 163
2026 435 179
2027 0 0
2028 0 0
2029 0 0
2030 0 0
2031 0 0
2032 486 3500
2033 0 0
2034 0 0
2035 486 3500
2036 0 0
2037 0 0
2038 0 0
2039 0 0
2040 0 0
2041 0 0
2042 0 0
2043 0 0
2044 163 163
2045 0 0
2046 406 3500
2047 0 0
2048 486 3500
2049 486 3500
2050 0 0
2051 0 0
2052 0 0
2053 0 0
2054 0 0
2055 0 0
2056 435 179
2057 0 0
2058 0 0
2059 0 0
2060 0 0
2061 0 0
2062 0 0
2063 0 0
2064 0 0
2065 0 0
2066 163 163
2067 0 0
2068 0 0
2069 0 0
2070 0 0
2071 0 0
2072 0 0
2073 0 0
2074 0 0
2075 0 0
2076 163 163
2077 0 0
2078 0 0
2079 0 0
2080 0 0
2081 0 0
2082 0 0
2083 0 0
2084 0 0
2085 0 123
2086 475 179
2087 0 0
2088 0 0
2089 0 0
2090 0 0
2091 0 0
2092 0 0
2093 0 0
2094 0 0
2095 163 123
2096 0 0
2097 0 0
2098 0 0
2099 0 0
2100 451 179
2101 0 0
2102 0 0
2103 486 3500
2104 0 0
2105 0 0
2106 0 0
2107 0 0
2108 0 0
2109 0 0
