1450 0 0
1451 0 0
1452 0 0
1453 435 179
1454 0 0
1455 0 0
1456 0 0
1457 0 0
1458 0 0
1459 0 0
1460 585 3500
1461 684 3500
1462 0 0
1463 0 0
1464 0 0
1465 0 0
1466 0 0
1467 0 0
1468 0 0
1469 0 0
1470 0 0
1471 0 0
1472 163 163
1473 0 0
1474 0 0
1475 0 0
1476 0 0
1477 0 0
1478 0 0
1479 0 0
1480 0 0
1481 0 0
1482 163 163
1483 0 0
1484 435 179
1485 259 3281
1486 227 219
1487 0 0
1488 0 0
1489 0 0
1490 0 0
1491 0 0
1492 0 0
1493 0 0
1494 0 0
1495 0 0
1496 163 163
1497 0 0
1498 0 0
1499 0 0
1500 0 0
1501 0 0
1502 0 0
1503 0 0
1504 0 0
1505 123 163
1506 0 0
1507 0 0
1508 0 0
1509 0 0
1510 0 0
1511 0 0
1512 40 815
1513 120 374
1514 435 179
1515 0 0
1516 0 0
1517 0 0
1518 0 0
1519 0 0
1520 0 0
1521 0 0
1522 0 0
1523 0 123
1524 163 40
1525 0 0
1526 0 0
1527 0 0
1528 0 0
1529 0 0
1530 0 0
1531 0 0
1532 0 0
1533 604 4983
1534 40 0
1535 0 0
1536 0 0
1537 0 0
1538 0 0
1539 0 0
1540 0 0
1541 0 0
1542 0 0
1543 0 0
1544 598 342
1545 1248 6821
1546 0 0
1547 486 3500
1548 0 0
1549 0 0
1550 0 0
1551 0 0
1552 0 0
1553 0 0
1554 0 0
1555 0 0
1556 0 0
1557 163 123
1558 451 179
1559 0 0
1560 0 0
1561 0 0
1562 0 0
1563 0 0
1564 0 0
1565 0 0
1566 0 0
1567 0 0
1568 123 123
1569 40 0
1570 0 0
1571 0 0
1572 0 0
1573 0 0
1574 435 179
1575 0 0
1576 0 0
1577 0 0
1578 0 0
1579 0 0
1580 0 0
1581 0 0
1582 0 0
1583 0 0
1584 163 123
1585 0 0
1586 0 0
1587 0 0
1588 0 0
1589 0 0
1590 0 0
1591 0 0
1592 0 0
1593 123 40
1594 40 123
1595 0 0
1596 0 0
1597 0 0
1598 0 0
1599 0 0
1600 0 0
1601 0 0
1602 0 0
1603 123 40
1604 435 179
1605 486 3460
1606 0 0
1607 0 0
1608 0 0
1609 0 0
1610 0 0
1611 0 0
1612 486 3500
1613 0 0
1614 0 0
1615 0 0
1616 0 0
1617 0 0
1618 0 0
1619 0 0
1620 0 0
1621 163 123
1622 0 0
1623 0 0
1624 486 3500
1625 0 0
1626 0 0
1627 0 0
1628 0 0
1629 0 0
1630 0 0
1631 0 0
1632 0 0
1633 163 123
1634 435 179
1635 0 0
1636 0 0
1637 0 0
1638 0 0
1639 0 0
1640 0 0
1641 446 3500
1642 40 0
1643 0 0
1644 0 0
1645 0 0
1646 0 0
1647 0 0
1648 0 0
1649 0 0
1650 0 0
1651 0 0
1652 163 163
1653 0 0
1654 0 0
1655 505 3500
1656 0 0
1657 0 0
1658 0 0
1659 684 3500
1660 486 3500
1661 0 0
1662 80 815
1663 80 374
1664 435 179
1665 0 0
1666 0 0
1667 0 0
1668 0 0
1669 0 0
1670 0 0
1671 0 0
1672 0 0
1673 0 0
1674 0 0
1675 163 123
1676 0 0
1677 0 0
1678 0 0
1679 0 0
1680 0 0
1681 486 3500
1682 0 0
1683 0 0
1684 0 0
1685 0 0
1686 0 0
1687 0 0
1688 0 0
1689 0 0
1690 123 40
1691 40 123
1692 0 0
1693 0 0
1694 395 0
1695 40 179
1696 0 0
1697 0 0
1698 0 0
1699 0 0
1700 0 0
1701 486 3460
1702 0 0
1703 0 0
1704 0 0
1705 0 0
1706 486 3500
1707 0 0
1708 0 0
1709 0 0
1710 0 0
1711 0 0
1712 0 0
1713 0 0
1714 0 0
1715 0 0
1716 0 123
1717 163 40
1718 0 0
1719 0 0
1720 0 0
1721 0 0
1722 0 0
1723 0 0
1724 0 0
1725 435 179
1726 0 0
1727 0 0
1728 0 0
1729 0 0
1730 0 0
1731 486 3500
1732 486 3500
1733 0 0
1734 0 0
1735 0 0
1736 0 0
1737 165 153
1738 710 3492
1739 243 219
1740 259 3353
1741 211 179
1742 0 0
1743 0 0
1744 0 0
1745 0 0
1746 0 0
1747 0 0
1748 0 0
1749 0 0
