1360 0 0
1361 0 0
1362 0 0
1363 1006 1467
1364 40 0
1365 0 0
1366 0 0
1367 0 0
1368 0 0
1369 0 0
1370 0 0
1371 0 0
1372 0 0
1373 0 0
1374 163 163
1375 0 0
1376 0 0
1377 0 0
1378 0 0
1379 0 0
1380 0 0
1381 0 0
1382 0 0
1383 0 0
1384 163 123
1385 0 0
1386 0 0
1387 0 0
1388 0 0
1389 0 0
1390 0 0
1391 0 0
1392 0 0
1393 435 179
1394 0 0
1395 0 0
1396 0 0
1397 0 0
1398 486 3500
1399 0 0
1400 0 0
1401 0 0
1402 0 0
1403 0 0
1404 0 0
1405 486 3500
1406 0 0
1407 0 0
1408 0 0
1409 0 0
1410 0 0
1411 0 0
1412 0 0
1413 0 0
1414 0 0
1415 0 0
1416 163 123
1417 0 0
1418 486 3500
1419 0 0
1420 0 0
1421 0 0
1422 0 0
1423 435 179
1424 0 0
1425 0 0
1426 0 0
1427 0 0
1428 0 0
1429 0 0
1430 0 0
1431 0 0
1432 0 0
1433 724 5023
1434 0 0
1435 0 0
1436 0 0
1437 0 0
1438 0 0
1439 0 0
1440 0 0
1441 0 0
1442 545 3500
1443 40 0
1444 0 0
1445 0 0
1446 0 0
1447 0 0
1448 0 0
1449 486 3500
1450 0 0
1451 0 0
1452 0 0
1453 435 179
1454 0 0
1455 0 0
1456 0 0
1457 0 0
1458 0 0
1459 0 0
1460 585 3500
1461 684 3500
1462 0 0
1463 0 0
1464 0 0
1465 0 0
1466 0 0
1467 0 0
1468 0 0
1469 0 0
1470 0 0
1471 0 0
1472 163 163
1473 0 0
1474 0 0
1475 0 0
1476 0 0
1477 0 0
1478 0 0
1479 0 0
1480 0 0
1481 0 0
1482 163 163
1483 0 0
1484 435 179
1485 259 3281
1486 227 219
1487 0 0
1488 0 0
1489 0 0
1490 0 0
1491 0 0
1492 0 0
1493 0 0
1494 0 0
1495 0 0
1496 163 163
1497 0 0
1498 0 0
1499 0 0
1500 0 0
1501 0 0
1502 0 0
1503 0 0
1504 0 0
1505 123 163
1506 0 0
1507 0 0
1508 0 0
1509 0 0
1510 0 0
1511 0 0
1512 40 815
1513 120 374
1514 435 179
1515 0 0
1516 0 0
1517 0 0
1518 0 0
1519 0 0
1520 0 0
1521 0 0
1522 0 0
1523 0 123
1524 163 40
1525 0 0
1526 0 0
1527 0 0
1528 0 0
1529 0 0
1530 0 0
1531 0 0
1532 0 0
1533 604 4983
1534 40 0
1535 0 0
1536 0 0
1537 0 0
1538 0 0
1539 0 0
1540 0 0
1541 0 0
1542 0 0
1543 0 0
1544 598 342
1545 1248 6821
1546 0 0
1547 486 3500
1548 0 0
1549 0 0
1550 0 0
1551 0 0
1552 0 0
1553 0 0
1554 0 0
1555 0 0
1556 0 0
1557 163 123
1558 451 179
1559 0 0
1560 0 0
1561 0 0
1562 0 0
1563 0 0
1564 0 0
1565 0 0
1566 0 0
1567 0 0
1568 123 123
1569 40 0
1570 0 0
1571 0 0
1572 0 0
1573 0 0
1574 435 179
1575 0 0
1576 0 0
1577 0 0
1578 0 0
1579 0 0
1580 0 0
1581 0 0
1582 0 0
1583 0 0
1584 163 123
1585 0 0
1586 0 0
1587 0 0
1588 0 0
1589 0 0
1590 0 0
1591 0 0
1592 0 0
1593 123 40
1594 40 123
1595 0 0
1596 0 0
1597 0 0
1598 0 0
1599 0 0
1600 0 0
1601 0 0
1602 0 0
1603 123 40
1604 435 179
1605 486 3460
1606 0 0
1607 0 0
1608 0 0
1609 0 0
1610 0 0
1611 0 0
1612 486 3500
1613 0 0
1614 0 0
1615 0 0
1616 0 0
1617 0 0
1618 0 0
1619 0 0
1620 0 0
1621 163 123
1622 0 0
1623 0 0
1624 486 3500
1625 0 0
1626 0 0
1627 0 0
1628 0 0
1629 0 0
1630 0 0
1631 0 0
1632 0 0
1633 163 123
1634 435 179
1635 0 0
1636 0 0
1637 0 0
1638 0 0
1639 0 0
1640 0 0
1641 446 3500
1642 40 0
1643 0 0
1644 0 0
1645 0 0
1646 0 0
1647 0 0
1648 0 0
1649 0 0
1650 0 0
1651 0 0
1652 163 163
1653 0 0
1654 0 0
1655 505 3500
1656 0 0
1657 0 0
1658 0 0
1659 684 3500
